Date,avg_fwd_r5,hit_rate,strategy
2018-03-14,-0.004806370682281069,0.2,random
2018-03-15,-0.03484162216345314,0.0,random
2018-03-16,-0.06649602281360989,0.0,random
2018-03-19,-0.017328495077170335,0.2,random
2018-03-20,-0.029794034067726006,0.0,random
2018-03-21,-0.025414644946035715,0.4,random
2018-03-22,0.0010595524645880872,0.6,random
2018-03-23,0.002494988923882535,0.6,random
2018-03-26,-0.025032625248349837,0.0,random
2018-03-27,0.006783209243729904,0.8,random
2018-03-28,0.03340695699127494,1.0,random
2018-03-29,-0.012162905322190509,0.0,random
2018-04-02,0.024759062227934735,1.0,random
2018-04-03,0.028905175725113263,1.0,random
2018-04-04,-0.0011728656339063282,0.2,random
2018-04-05,0.0017640599737616558,0.4,random
2018-04-06,0.022261102041972337,0.6,random
2018-04-09,0.02498428257771801,1.0,random
2018-04-10,0.022021609243506247,1.0,random
2018-04-11,0.024436579939961955,0.6,random
2018-04-12,-0.011384064762423263,0.2,random
2018-04-13,-0.007606857931743849,0.4,random
2018-04-16,0.021320739434024127,0.8,random
2018-04-17,0.003493030149648013,0.4,random
2018-04-18,-0.010111402921188884,0.2,random
2018-04-19,0.00611774287068192,0.4,random
2018-04-20,0.005013886087312835,0.6,random
2018-04-23,-0.002219201107547519,0.2,random
2018-04-24,-0.01415488427786038,0.0,random
2018-04-25,-0.007384885890020287,0.4,random
2018-04-26,-0.02055944299577044,0.2,random
2018-04-27,0.004494159823952515,0.6,random
2018-04-30,-0.011112226791020353,0.2,random
2018-05-01,0.03233470453530962,0.8,random
2018-05-02,0.03449788100312601,1.0,random
2018-05-03,0.03104912356425522,0.8,random
2018-05-04,0.015310059222313299,1.0,random
2018-05-07,0.0112393812270829,0.8,random
2018-05-08,0.016594574103714364,0.8,random
2018-05-09,0.0022033967854323323,0.8,random
2018-05-10,-0.01625655909432524,0.2,random
2018-05-11,-0.01652426085962604,0.0,random
2018-05-14,0.0006934940624500508,0.4,random
2018-05-15,-0.008590096875225073,0.4,random
2018-05-16,-0.00534897798168843,0.4,random
2018-05-17,0.013304324121434763,0.6,random
2018-05-18,0.004498876077346026,0.6,random
2018-05-21,-0.006051803572472836,0.4,random
2018-05-22,0.00730592122846192,0.6,random
2018-05-23,-0.01914242674581963,0.2,random
2018-05-24,-0.008916833318832262,0.4,random
2018-05-25,0.016031960112433484,0.8,random
2018-05-29,0.022407268817941816,0.8,random
2018-05-30,0.025173062390925694,1.0,random
2018-05-31,0.03696506134028739,1.0,random
2018-06-01,0.02844901348105213,1.0,random
2018-06-04,0.023211858857407775,1.0,random
2018-06-05,0.02105975651188623,1.0,random
2018-06-06,0.0031523501131335506,0.4,random
2018-06-07,-0.004192268723680703,0.4,random
2018-06-08,0.0018623117672380341,0.4,random
2018-06-11,0.00632685253809886,0.6,random
2018-06-12,-0.02798242229550041,0.2,random
2018-06-13,-0.029372891673656733,0.0,random
2018-06-14,-0.03069928546946763,0.2,random
2018-06-15,-0.023823796108077368,0.4,random
2018-06-18,-0.03018230376294857,0.0,random
2018-06-19,-0.03017627504295417,0.0,random
2018-06-20,-0.03369861894851935,0.0,random
2018-06-21,-0.0157040097306534,0.2,random
2018-06-22,-0.020833642280692444,0.2,random
2018-06-25,0.002956812500406758,0.6,random
2018-06-26,-0.0012134863930967298,0.8,random
2018-06-27,0.008130215242747152,0.8,random
2018-06-28,0.027737650299501614,1.0,random
2018-06-29,0.013807505123954168,0.8,random
2018-07-02,0.030055411387426956,1.0,random
2018-07-03,0.0293095929694696,1.0,random
2018-07-05,0.03625889514277132,1.0,random
2018-07-06,0.014450482900683381,0.6,random
2018-07-09,0.015662456951775972,0.8,random
2018-07-10,0.024763019526839524,0.8,random
2018-07-11,0.027938688031076287,0.8,random
2018-07-12,0.010845297100108998,0.8,random
2018-07-13,-0.0021386481785241386,0.4,random
2018-07-16,-0.004607872871237584,0.2,random
2018-07-17,0.008323987776137142,0.6,random
2018-07-18,0.003134822456500297,0.6,random
2018-07-19,0.023853110751607166,1.0,random
2018-07-20,0.008679224758745807,0.6,random
2018-07-23,0.0013290445217984058,0.4,random
2018-07-24,0.02362927933407295,0.8,random
2018-07-25,-0.015450004540010975,0.4,random
2018-07-26,-0.005095776878948422,0.4,random
2018-07-27,0.02053626564139055,0.8,random
2018-07-30,0.016120363000397854,0.8,random
2018-07-31,0.0057106999959603,0.4,random
2018-08-01,0.016063898176941427,0.8,random
2018-08-02,0.006961708563008329,0.8,random
2018-08-03,0.004702665636541159,0.6,random
2018-08-06,-0.010906194691003356,0.2,random
2018-08-07,-0.011327963879700476,0.4,random
2018-08-08,-0.019925155536506,0.2,random
2018-08-09,-6.753208917744668e-05,0.6,random
2018-08-10,0.020386422415445925,1.0,random
2018-08-13,0.031423019071564307,1.0,random
2018-08-14,0.012447590719654067,0.6,random
2018-08-15,0.02955333418061947,1.0,random
2018-08-16,0.003676943923390752,0.8,random
2018-08-17,0.006822047140773635,0.6,random
2018-08-20,0.006340369322067075,0.6,random
2018-08-21,0.011614821861996028,0.8,random
2018-08-22,0.024514927487276683,0.8,random
2018-08-23,0.00436513476264988,0.6,random
2018-08-24,0.014036294919874482,0.6,random
2018-08-27,-0.0088636627712535,0.4,random
2018-08-28,0.004040867830863548,0.6,random
2018-08-29,-0.01648711323600365,0.2,random
2018-08-30,-0.004047563401728738,0.4,random
2018-08-31,-0.01746991371473825,0.0,random
2018-09-04,0.004782474269307402,0.4,random
2018-09-05,0.004728071809763046,0.6,random
2018-09-06,-0.0024436909446197363,0.2,random
2018-09-07,0.001180588981329289,0.6,random
2018-09-10,-0.0040466615423834455,0.4,random
2018-09-11,0.0018842205571159899,0.4,random
2018-09-12,0.022895720320390067,1.0,random
2018-09-13,0.014106411993147838,0.8,random
2018-09-14,0.01985812283441013,1.0,random
2018-09-17,0.01831137375239251,1.0,random
2018-09-18,0.011194304883541317,0.6,random
2018-09-19,-0.0035379127495424267,0.4,random
2018-09-20,-0.014633581270797436,0.2,random
2018-09-21,0.004209661205014181,0.6,random
2018-09-24,-0.001574022395450947,0.6,random
2018-09-25,0.00032623069159241067,0.6,random
2018-09-26,0.019602405796966305,0.8,random
2018-09-27,-0.0053303832476033096,0.4,random
2018-09-28,0.0013086943015697683,0.6,random
2018-10-01,-0.01613773806707095,0.6,random
2018-10-02,-0.019075463528655544,0.2,random
2018-10-03,-0.059525621874886706,0.0,random
2018-10-04,-0.04971730349396393,0.0,random
2018-10-05,-0.033994988533420624,0.0,random
2018-10-08,-0.0460963322708184,0.0,random
2018-10-09,-0.043669628724176346,0.0,random
2018-10-10,-0.022548195749283684,0.2,random
2018-10-11,0.004152058140700299,0.6,random
2018-10-12,-0.013402024791127154,0.4,random
2018-10-15,-0.0007014938779404956,0.6,random
2018-10-16,-0.022823940808303123,0.4,random
2018-10-17,-0.04474714564185549,0.2,random
2018-10-18,0.00338658830133749,0.6,random
2018-10-19,-0.03235464361907037,0.0,random
2018-10-22,-0.03557189656042514,0.4,random
2018-10-23,0.013399641162139275,0.8,random
2018-10-24,0.04497644312444806,0.8,random
2018-10-25,0.002682417281932481,0.4,random
2018-10-26,0.022477147410260124,0.8,random
2018-10-29,0.0363700701041362,1.0,random
2018-10-30,0.0253096708690534,0.6,random
2018-10-31,0.040414900115643346,1.0,random
2018-11-01,0.039048221877418146,1.0,random
2018-11-02,0.015682724616111133,0.6,random
2018-11-05,0.009245786851924787,0.6,random
2018-11-06,-0.01620072597170672,0.2,random
