week,start_date,mean_excess_5d,n_picks,cum_excess
2022-11-01/2022-11-07,2022-11-01,0.04099566475072347,2.0,0.08103059371964916
2022-11-08/2022-11-14,2022-11-08,0.008647943841252514,5.0,0.09037928558481267
2022-11-15/2022-11-21,2022-11-15,-0.008440388155574264,5.0,0.08117606117767906
2022-11-22/2022-11-28,2022-11-22,0.006470790631857381,5.0,0.08817212510573591
2022-11-29/2022-12-05,2022-11-29,0.02353780448247289,2.0,0.11378530782975171
2022-12-06/2022-12-12,2022-12-06,0.024916229966586823,1.0,0.14153663869304345
2022-12-13/2022-12-19,,0.0,0.0,0.14153663869304345
2022-12-20/2022-12-26,,0.0,0.0,0.14153663869304345
2022-12-27/2023-01-02,,0.0,0.0,0.14153663869304345
2023-01-03/2023-01-09,,0.0,0.0,0.14153663869304345
2023-01-10/2023-01-16,2023-01-10,0.006594289781200691,2.0,0.14906426208444312
2023-01-17/2023-01-23,2023-01-17,-0.009872631067465332,2.0,0.13771997455207408
2023-01-24/2023-01-30,2023-01-24,0.0010041784958471078,4.0,0.13886244848481488
2023-01-31/2023-02-06,2023-01-31,0.017618793714689062,5.0,0.15892783103407448
2023-02-07/2023-02-13,2023-02-07,0.010394219835623964,5.0,0.17097398168346545
2023-02-14/2023-02-20,2023-02-14,-0.031542936686727197,2.0,0.134038023517419
2023-02-21/2023-02-27,,0.0,0.0,0.134038023517419
2023-02-28/2023-03-06,2023-02-28,-0.0019710435156068407,1.0,0.13180278522471345
2023-03-07/2023-03-13,,0.0,0.0,0.13180278522471345
2023-03-14/2023-03-20,,0.0,0.0,0.13180278522471345
2023-03-21/2023-03-27,2023-03-21,0.0219174740815119,2.0,0.15660904343525917
2023-03-28/2023-04-03,2023-03-28,0.04474127173235565,2.0,0.20835720293569593
2023-04-04/2023-04-10,2023-04-04,-0.03224496220491152,2.0,0.1693937705970019
