Date,mean_excess_5d,hit_rate_excess,n_picks
2021-02-11,-0.002794878033435292,0.3333333333333333,3
2021-02-12,-0.012657255139278548,0.3333333333333333,3
2021-02-16,-0.04523196888369537,0.0,3
2021-02-17,-0.0303708703277199,0.0,3
2021-02-18,-0.06207395079648104,0.0,2
2021-02-19,-0.09712457813968411,0.0,1
2021-02-22,0.004039119167162486,1.0,3
2021-02-23,0.0052468810126613755,0.4,5
2021-02-24,0.02000184736260797,0.6,5
2021-02-25,0.011760134383318976,0.6,5
2021-02-26,0.041236946572758934,1.0,5
2021-03-01,0.05938155739152764,1.0,5
2021-03-02,0.023679132048097663,0.8,5
2021-03-03,0.021587984333946063,0.8,5
2021-03-04,-0.005421229893070922,0.2,5
2021-03-05,0.007148181285958788,0.5,4
2021-03-08,-0.03167366793683135,0.2,5
2021-03-09,-0.017621817971475995,0.25,4
2021-03-10,-0.013524491473253675,0.2,5
2021-03-11,-0.016877683156837308,0.4,5
2021-03-12,-0.029401736396565938,0.0,5
2021-03-15,-0.03274595527077253,0.0,5
2021-03-16,-0.037441296566951665,0.0,4
2021-03-17,-0.029441972215837376,0.0,5
2021-03-18,-0.013411804494620006,0.4,5
2021-03-19,-0.023182856547799557,0.5,2
2021-03-22,0.01672926150762803,0.6666666666666666,3
2021-03-23,0.015738675756032494,1.0,2
2021-03-24,0.0005982412796657899,0.5,2
2021-03-25,-0.008700741694929154,0.5,4
2021-03-26,-0.011364220579848339,0.4,5
2021-03-29,-0.026780531699887967,0.2,5
2021-03-30,-0.02850261929595994,0.0,5
2021-03-31,-0.026870470420652603,0.0,4
2021-04-01,-0.00747811088984045,0.4,5
2021-04-05,-0.004874987375367667,0.4,5
2021-04-06,0.018969476159889753,0.5,4
2021-04-07,0.019519320825889586,0.6666666666666666,3
2021-04-08,0.05879214260024057,1.0,2
2021-04-09,0.05235656970266811,1.0,2
2021-04-12,0.0057945559209253705,1.0,2
2021-04-13,-0.008679383293767662,0.5,4
2021-04-14,0.0007693761734444138,0.5,2
2021-04-15,-0.013668861262742249,0.6666666666666666,3
2021-04-16,-0.012335328848338035,0.4,5
2021-04-19,-0.006642783669460445,0.5,4
2021-04-20,-0.011243817392975863,0.5,2
2021-04-21,-0.0185789823684554,0.0,4
2021-04-22,0.0035860293775592522,0.5,2
2021-04-23,-0.015459174036409595,0.2,5
2021-04-26,-0.031603463064071045,0.0,5
2021-04-27,-0.050127134185938636,0.0,5
2021-04-28,-0.05737010015834256,0.0,5
2021-04-29,-0.04584713936301055,0.0,4
2021-05-04,0.004267757861896038,1.0,1
2021-05-05,0.0075858464438525175,1.0,1
2021-05-06,0.00346935429577222,1.0,2
2021-05-07,0.0008683971997606732,0.5,2
2021-05-10,-0.008001011612667919,0.5,2
2021-06-02,0.03142815223577755,1.0,1
2021-06-03,0.015269488081938398,1.0,1
2021-06-04,0.01000508089299501,1.0,1
2021-06-07,0.01541693676923317,1.0,1
2021-06-08,0.01731256052956842,1.0,2
2021-06-09,0.02494854051071993,1.0,1
2021-06-10,0.021086847914419986,0.6666666666666666,3
2021-06-11,0.027383007168932456,0.6666666666666666,3
2021-06-14,0.01806803822985692,1.0,2
2021-06-15,0.03518960663437343,1.0,2
2021-06-16,0.0327124992564336,0.5,2
