Date,mean_excess_5d,hit_rate_excess,n_picks
2020-08-13,-0.013902253048906577,0.0,1
2020-08-14,-0.013719945498888109,0.0,1
2020-08-17,-0.012688183071032588,0.0,1
2020-08-18,-0.016658746440649463,0.0,1
2020-08-19,-0.02158581815738958,0.0,1
2020-09-04,-0.0032744590658706496,0.5,2
2020-09-08,0.017100302650184362,0.8,5
2020-09-09,-0.028610424531096256,0.2,5
2020-09-10,-0.02197759119801699,0.2,5
2020-09-11,-0.021290028735824917,0.0,4
2020-09-14,-0.01197589087424722,0.0,1
2020-09-16,0.022335652643587944,1.0,1
2020-09-24,-0.05201551638234725,0.0,1
2020-10-19,0.0036247669530336535,0.5,2
2020-10-20,0.036575075279901226,1.0,1
2020-10-21,-0.02620406366067729,0.0,1
2020-10-23,-0.0037285287083407836,0.5,2
2020-10-26,0.005965636525267215,0.5,2
2020-10-27,-0.010834315440324205,0.0,1
2020-10-28,-0.009575042566981162,0.4,5
2020-10-29,-0.00337203962115038,0.4,5
2020-10-30,0.0010045881163577963,0.6,5
2020-11-02,0.043532380074396415,0.5,2
2020-11-03,-0.05798885282242172,0.0,1
2020-11-12,-0.010771554219000556,0.0,1
2020-11-13,-0.008001270648361092,0.0,1
2020-12-02,-0.0011147090963017359,0.0,1
2020-12-03,0.00871560620956191,1.0,1
2021-01-07,-0.012923432927931633,0.0,1
2021-01-22,0.03767245250926199,1.0,1
2021-01-27,0.010791991704031667,0.5,2
2021-01-28,0.0055018005750191445,0.5,2
2021-01-29,-0.03725566050439144,0.0,1
2021-02-01,-0.023769789076917514,0.0,1
2021-02-02,0.008330046932450097,1.0,1
2021-02-23,-0.03708856352173995,0.0,1
2021-02-24,-0.015770517992976685,0.0,1
2021-02-25,-0.01608914649201504,0.25,4
2021-02-26,-0.049941679801349524,0.0,3
2021-03-03,-0.020067293615622872,0.5,2
2021-03-04,0.0010108752513913188,0.5,2
2021-03-05,0.004469851600874097,1.0,1
2021-03-08,0.0439690614413785,1.0,3
2021-03-19,0.015355572383420446,1.0,1
2021-03-22,0.02873092609016481,1.0,2
2021-03-23,-0.000295915028023952,0.5,2
2021-03-24,-0.014953049958628228,0.0,2
2021-03-25,0.008497160540974491,1.0,2
2021-04-20,0.026355986614340576,1.0,1
2021-04-22,0.013056898150191731,1.0,1
2021-04-23,-0.03020943712248836,0.0,1
2021-04-26,0.027080244462110326,1.0,1
2021-04-27,0.037598965604316414,1.0,2
2021-04-28,0.005110025958434183,0.5,2
2021-04-29,0.058002854552308025,1.0,1
2021-05-04,-0.0013231014550775244,0.5,2
2021-05-05,-0.006043453856014606,0.3333333333333333,3
2021-05-10,0.03083348061919755,1.0,1
2021-05-12,-0.02148726122021516,0.0,1
2021-05-14,-0.011948833549710602,0.0,2
2021-05-17,-0.0044268144757046435,0.5,2
2021-05-18,0.0038307912448491965,0.5,2
2021-05-20,-0.018460525987563092,0.0,1
2021-05-27,0.015120456117801107,1.0,1
2021-05-28,0.0002102425540932984,1.0,1
2021-06-01,0.005779488511115871,1.0,2
2021-06-02,0.006825024411084568,1.0,1
2021-06-10,-0.06825010887764871,0.0,1
2021-06-11,-0.03151746026701285,0.0,1
2021-06-14,-0.025551350805816553,0.0,2
